S.No,Tracking ID,Kollegeapply ID,Client Name,Account Category,Onboarding Status,Campaign Status,Type of Account,Account Zone,State,City,Sales TL,Sales AM,Ops Zonal Manager,Ops TL,OPS AM,Payment Status,Course,Type of Calling,Deal Type,Performance Parameter,Delivery Method,Min Daily Lead Limit(DLL),Max Daily Lead Limit(DLL)	,CRM,CRM Access Status,Client Name in CRM,Feedback Status,CRM Data Status,Application Form Link,Delivery Remark (Objective),Target Lead,Target Application,Target Admission,On-Boarding Date,Delivery Start Date,Delivery End Date,No. of Days,Ads Approval,Ads Status,Landing Page Used,Ads Redirection Link,Ads Started Date,META Status,API Limit,Maximum DLL (Daily Lead Limit),Regular DLL (Daily Lead Limit),Lead Origin - Ads Leads,Application Form Fee,Application Last Date,KAPP LP - Adwords Desktop,KAPP LP - Adwords Mobile,KAPP LP - Bing,KAPP LP - META,KAPP LP - SMS,KAPP LP - Email,KAPP LP - Whatsapp,Duplicate Lead Code,Application Code,Vendor Code,Admission Code,OTP Page ?,Application Status,Application Remarks,Admission Status,Admission Remarks,Campaign Remarks
1,12000001,7500208,SNAP,,Onboarded,Closed,Exam,West,Maharashtra,Pune,Manoj Sharma,Manoj Sharma,Govind Mahara,Aadesh Kumar,Aadesh Kumar,-,MBA,Client,CPA,Application,Redirection,-,-,Client,Not Received,-,Realtime,Mask,https://www.snaptest.org/?utm_source=KollegeApply&utm_medium=Banner,,,750,,4-Aug-2025,7-Aug-2025,24-Nov-2025,250,,Stopped,Client LP,https://www.snaptest.org/?utm_source=KollegeApply&utm_medium=Banner,7-Aug-2025,,No,,,,,,ca1,cb1,cc1,cm1,cs1,ce1,cw1,cad1,cap1,cv1,,,,,,,
2,12000002,7042882,NMIMS NMAT,,Onboarded,Closed,College/University,West,Maharashtra,Mumbai,Manoj Sharma,Manoj Sharma,Govind Mahara,Aadesh Kumar,Taniya,-,MBA,Client,CPA,Application,API,-,-,Salesforce,Not Received,-,Offline,Mask,https://nmat.nmims.edu/,,30000,1500,,31-Jul-2025,1-Aug-2025,18-Oct-2025,256,,Stopped,Client LP,https://nmat.nmims.edu/,13-Aug-2025,,No,,,,,,ca2,cb2,cc2,cm2,cs2,ce2,cw2,cad2,cap2,cv2,,No,,,,,
3,12000003,7500042,NMAT By GMAC,,Onboarded,Closed,Exam,West,Maharashtra,Mumbai,Manoj Sharma,Manoj Sharma,Govind Mahara,Aadesh Kumar,Aadesh Kumar,-,MBA,Client,CPA,Application,Redirection,-,-,NPF,Received,NMAT By GMAC,Realtime,Mask,https://www.mba.com/exams/nmat?utm_campaign=SAS_IN_sasnmatdec_nmatexam_sasnmatarm_nmat2025_&utm_source=kollegeapply&utm_medium=display,,2500,2000,,31-Jul-2025,7-Aug-2025,10-Oct-2025,250,,Stopped,Client LP,https://www.mba.com/exams/nmat?utm_campaign=SAS_IN_sasnmatdec_nmatexam_sasnmatarm_nmat2025_&utm_source=kollegeapply&utm_medium=display,7-Aug-2025,,No,,,,,,ca3,cb3,cc3,cm3,cs3,ce3,cw3,cad3,cap3,cv3,,,,,,,
4,12000004,7022524,SPJIMR (PGPM&GMP),,Onboarded,Closed,College/University,West,Maharashtra,Mumbai,Manoj Sharma,Jaswinder Singh,Govind Mahara,Aadesh Kumar,Aadesh Kumar,Received,"PGPM,GMP",Client,CPL,Application,API,10,20,NPF,Received,SPJIMR PGPM,Realtime,Mask,"https://www.spjimr.org/pgpm-admissions-open/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,https://www.spjimr.org/gmp-admissions/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026",,500,10,,22-Aug-2025,25-Aug-2025,15-Sep-2025,232,Yes,Stopped,Client LP,"https://www.spjimr.org/pgpm-admissions-open/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,https://www.spjimr.org/gmp-admissions/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026",25-Aug-2025,,No,,5,,,,ca4,cb4,cc4,cm4,cs4,ce4,cw4,cad4,cap4,cv4,,,,,,,
5,12000005,7050147,LBSIM,,Onboarded,Closed,College/University,East,Delhi,New Delhi,Viswajeet Biswal,Rahul Raj,Dinesh Singh,Anubha Agrawal,Nilesh Kumar,Will be received,PGDM,Client,CPA,Application,API,,,NPF,Received,"Lal Bahadur Shastri Institute of Management, Delhi",No Feedback Expected,UnMask,https://forms.lbsim.ac.in/?utm_source=kollegeapply&utm_medium=ts01&utm_campaign=2026,focus Delhi-NCR,10000,300,,25-Aug-2025,25-Aug-2025,3-Feb-2026,232,Yes - Hidden,Stopped,Client LP,,1-Sep-2025,,Yes,1500,1500,Both (Online/API),,,ca5,cb5,cc5,cm5,cs5,ce5,cw5,cad5,cap5,cv5,,,Dashboard,Paid Applications,,,Timeline over.Campaign Closed
6,12000006,7042476,FLAME University,,Onboarded,Closed,College/University,West,Maharashtra,Pune,Manoj Sharma,Jaswinder Singh,Govind Mahara,Aadesh Kumar,Aadesh Kumar,Not Received,"MBA, MBA Communications Management & M.Sc Economics (with Data Science focus)",Client,CPL,Application,API,20,50,Salesforce,Not Received,-,Offline,Mask,https://getcollegenow.com/flame-university/dashboard.php?lp_filter=Flame_University&date_from=&date_to=,,1800,75,,8-Sep-2025,29-Sep-2025,11-Dec-2025,197,,Stopped,Client LP,https://getcollegenow.com/flame-university/dashboard.php?lp_filter=Flame_University&date_from=&date_to=,,,,,50,,,,ca6,cb6,cc6,cm6,cs6,ce6,cw6,cad6,cap6,cv6,,,,,,,
7,12000007,,Learning Routes,,Onboarded,Active,Consultant,South,Karnataka,Bangalore,Raghav Luthra,Roshan Das,Govind Mahara,Govind Mahara,Govind Mahara,Received,Online Programs,Client,CPL,Leads,API,50,100,Nurturflow,Received,Learning Routes,Realtime,UnMask,-,,450,,,10-Sep-2025,11-Sep-2025,,215,Yes - Open,Not Running,,-,-,,No,50,150,,,,ca7,cb7,cc7,cm7,cs7,ce7,cw7,cad7,cap7,cv7,,,Dashboard,,Dashboard,,
8,12000008,7011635,LISAA School of Design,,Onboarded,Active,College/University,South,Karnataka,Bangalore,Raghav Luthra,Roshan Das,Govind Mahara,Govind Mahara,Anshika Dwivedi,Received,"Animation , Graphic Design , UI/UX",Client,CPL,Application,API,,,NPF,Received,Lisaa School of Design,Realtime,Mask,https://apply.lisaabangalore.com,,,30,,12-Sep-2025,12-Sep-2025,,214,Yes,Stopped,,https://apply.lisaabangalore.com,12-Sep-2025,,No,50,50,,,,ca8,cb8,cc8,cm8,cs8,ce8,cw8,cad8,cap8,cv8,,No,Dashboard,,Dashboard,,
9,12000009,7050848,GIBS,,Onboarded,Active,College/University,South,Karnataka,Bangalore,Raghav Luthra,Roshan Das,Govind Mahara,Govind Mahara,Govind Mahara,Received,"MBA,PGDM,BBA",Client,CPA,Application,API,200,1000,NPF,Received,GIBS Business School Bangalore,Realtime,UnMask,https://admission.gibsbschool.com/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,,,300,,13-Sep-2025,15-Sep-2025,,211,Yes - Hidden,Running,Client LP,https://admission.gibsbschool.com/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,15-Sep-2025,,Yes,500,500,,,,ca9,cb9,cc9,cm9,cs9,ce9,cw9,cad9,cap9,cv9,,,Dashboard,,Dashboard,,
10,12000010,7042916,Parul University,,Onboarded,Active,College/University,West,Gujarat,Vadodara,Bhumit Sagathiya,Mahir,Govind Mahara,Aadesh Kumar,Paras Chaturvedi,Received,All Course,Client,CPS,Admission,API,,,Client,Received,Parul University,Realtime,UnMask,https://paruluniversity.ac.in/master_2026/?utm_source=kollegeapply&utm_medium=banner&utm_campaign=2026,,100000,,700,13-Sep-2025,13-Sep-2025,,213,No,Not Running,,https://paruluniversity.ac.in/master_2026/?utm_source=kollegeapply&utm_medium=bk01&utm_campaign=2026,-,,No,,100,,2000,,ca10,cb10,cc10,cm10,cs10,ce10,cw10,cad10,cap10,cv10,,Yes,Dashboard,,Dashboard,,
